expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
17/4/2025,Food,Main,1.80,SGD,1.80,SGD,,,,
17/4/2025,Food,Main,1.00,SGD,1.00,SGD,,,,
17/4/2025,Food,Main,1.80,SGD,1.80,SGD,,,,
17/4/2025,Food,Main,3.80,SGD,3.80,SGD,,,,
17/4/2025,Food,Main,5.22,SGD,5.22,SGD,,,,
17/4/2025,Food,Main,1.44,SGD,1.44,SGD,,,,
17/4/2025,Food,Main,2.40,SGD,2.40,SGD,,,,
17/4/2025,Food,Main,7.90,SGD,7.90,SGD,,,,
17/4/2025,Food,Main,1.85,SGD,1.85,SGD,,,,
16/4/2025,Leisure,Main,7.00,SGD,7.00,SGD,,,,book
16/4/2025,Food,Main,3.36,SGD,3.36,SGD,,,,
16/4/2025,Credit Card Bill,Main,7.80,SGD,7.80,SGD,,,,
16/4/2025,Food,Main,7.25,SGD,7.25,SGD,,,,
16/4/2025,Food,Main,6.12,SGD,6.12,SGD,,,,
15/4/2025,Food,Main,5.30,SGD,5.30,SGD,,,,
14/4/2025,Food,Main,7.00,SGD,7.00,SGD,,,,
14/4/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
13/4/2025,Ciggaretes,Main,1.90,SGD,1.90,SGD,,,,
13/4/2025,Food,Main,6.75,SGD,6.75,SGD,,,,
13/4/2025,Food,Main,8.00,SGD,8.00,SGD,,,,
11/4/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
11/4/2025,Food,Main,5.40,SGD,5.40,SGD,,,,
10/4/2025,Groceries,Main,4.95,SGD,4.95,SGD,,,,
10/4/2025,Food,Main,4.30,SGD,4.30,SGD,,,,
10/4/2025,Food,Main,8.01,SGD,8.01,SGD,,,,
10/4/2025,Health,Main,21.95,SGD,21.95,SGD,,,,LIFE
10/4/2025,Leisure,Main,25.45,SGD,25.45,SGD,,,,GOMO
9/4/2025,Food,Main,10.62,SGD,10.62,SGD,,,,
9/4/2025,Food,Main,1.10,SGD,1.10,SGD,,,,
9/4/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
8/4/2025,Groceries,Main,4.50,SGD,4.50,SGD,,,,
8/4/2025,Food,Main,4.30,SGD,4.30,SGD,,,,
7/4/2025,Leisure,Main,16.83,SGD,16.83,SGD,,,,NetCup
7/4/2025,Food,Main,7.62,SGD,7.62,SGD,,,,
7/4/2025,Food,Main,6.85,SGD,6.85,SGD,,,,
6/4/2025,Food,Main,3.90,SGD,3.90,SGD,,,,
6/4/2025,Groceries,Main,9.00,SGD,9.00,SGD,,,,
6/4/2025,Food,Main,5.00,SGD,5.00,SGD,,,,
6/4/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
5/4/2025,Leisure,Main,30.00,SGD,30.00,SGD,,,,Chat GPT
5/4/2025,Workout,Main,102.60,SGD,102.60,SGD,,,,
5/4/2025,Food,Main,6.84,SGD,6.84,SGD,,,,
5/4/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
5/4/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
5/4/2025,Food,Main,15.50,SGD,15.50,SGD,,,,
5/4/2025,Food,Main,1.89,SGD,1.89,SGD,,,,
4/4/2025,Credit Card Bill,Main,25.00,SGD,25.00,SGD,,,,Muji Pants
4/4/2025,Food,Main,1.40,SGD,1.40,SGD,,,,
4/4/2025,Food,Main,7.92,SGD,7.92,SGD,,,,
4/4/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
4/4/2025,Food,Main,6.30,SGD,6.30,SGD,,,,
3/4/2025,Leisure,Main,3.35,SGD,3.35,SGD,,,,
3/4/2025,Groceries,Main,9.90,SGD,9.90,SGD,,,,
3/4/2025,Food,Main,8.01,SGD,8.01,SGD,,,,
3/4/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
3/4/2025,Food,Main,7.80,SGD,7.80,SGD,,,,
