Date,Amount,GST Rate,GST Amount
2025-04-17,1.80,0.09,0.1620
2025-04-17,1.00,0.09,0.0900
2025-04-17,1.80,0.09,0.1620
2025-04-17,3.80,0.09,0.3420
2025-04-17,5.22,0.09,0.4698
2025-04-17,1.44,0.09,0.1296
2025-04-17,2.40,0.09,0.2160
2025-04-17,7.90,0.09,0.7110
2025-04-17,1.85,0.09,0.1665
2025-04-16,7.00,0.09,0.6300
2025-04-16,3.36,0.09,0.3024
2025-04-16,7.80,0.09,0.7020
2025-04-16,7.25,0.09,0.6525
2025-04-16,6.12,0.09,0.5508
2025-04-15,5.30,0.09,0.4770
2025-04-14,7.00,0.09,0.6300
2025-04-14,5.00,0.09,0.4500
2025-04-13,1.90,0.09,0.1710
2025-04-13,6.75,0.09,0.6075
2025-04-13,8.00,0.09,0.7200
2025-04-11,1.70,0.09,0.1530
2025-04-11,5.40,0.09,0.4860
2025-04-10,4.95,0.09,0.4455
2025-04-10,4.30,0.09,0.3870
2025-04-10,8.01,0.09,0.7209
2025-04-10,21.95,0.09,1.9755
2025-04-10,25.45,0.09,2.2905
2025-04-09,10.62,0.09,0.9558
2025-04-09,1.10,0.09,0.0990
2025-04-09,6.30,0.09,0.5670
2025-04-08,4.50,0.09,0.4050
2025-04-08,4.30,0.09,0.3870
2025-04-07,16.83,0.09,1.5147
2025-04-07,7.62,0.09,0.6858
2025-04-07,6.85,0.09,0.6165
2025-04-06,3.90,0.09,0.3510
2025-04-06,9.00,0.09,0.8100
2025-04-06,5.00,0.09,0.4500
2025-04-06,5.80,0.09,0.5220
2025-04-05,30.00,0.09,2.7000
2025-04-05,102.60,0.09,9.2340
2025-04-05,6.84,0.09,0.6156
2025-04-05,2.50,0.09,0.2250
2025-04-05,1.70,0.09,0.1530
2025-04-05,15.50,0.09,1.3950
2025-04-05,1.89,0.09,0.1701
2025-04-04,25.00,0.09,2.2500
2025-04-04,1.40,0.09,0.1260
2025-04-04,7.92,0.09,0.7128
2025-04-04,1.70,0.09,0.1530
2025-04-04,6.30,0.09,0.5670
2025-04-03,3.35,0.09,0.3015
2025-04-03,9.90,0.09,0.8910
2025-04-03,8.01,0.09,0.7209
2025-04-03,2.50,0.09,0.2250
2025-04-03,7.80,0.09,0.7020
2025-04-02,1.90,0.09,0.1710
2025-04-02,0.90,0.09,0.0810
2025-04-02,6.30,0.09,0.5670
2025-04-02,7.00,0.09,0.6300
2025-04-01,15.30,0.09,1.3770
2025-04-01,7.30,0.09,0.6570
2025-03-30,1.70,0.09,0.1530
2025-03-30,7.25,0.09,0.6525
2025-03-30,50.00,0.09,4.5000
2025-03-30,1.60,0.09,0.1440
2025-03-30,5.90,0.09,0.5310
2025-03-30,8.16,0.09,0.7344
2025-03-29,13.50,0.09,1.2150
2025-03-29,1.89,0.09,0.1701
2025-03-29,5.91,0.09,0.5319
2025-03-28,4.95,0.09,0.4455
2025-03-28,4.25,0.09,0.3825
2025-03-28,50.00,0.09,4.5000
2025-03-28,2.12,0.09,0.1908
2025-03-28,5.00,0.09,0.4500
2025-03-28,7.30,0.09,0.6570
2025-03-27,20.00,0.09,1.8000
2025-03-27,8.10,0.09,0.7290
2025-03-27,6.60,0.09,0.5940
2025-03-27,18.00,0.09,1.6200
2025-03-27,19.69,0.09,1.7721
2025-03-27,330.00,0.09,29.7000
2025-03-26,550.00,0.09,49.5000
2025-03-26,20.00,0.09,1.8000
2025-03-26,2.10,0.09,0.1890
2025-03-26,4.70,0.09,0.4230
2025-03-26,1.90,0.09,0.1710
2025-03-26,0.90,0.09,0.0810
2025-03-26,6.12,0.09,0.5508
2025-03-26,169.00,0.09,15.2100
2025-03-26,5.30,0.09,0.4770
2025-03-25,7.92,0.09,0.7128
2025-03-25,1.80,0.09,0.1620
2025-03-25,5.30,0.09,0.4770
2025-03-23,14.00,0.09,1.2600
2025-03-23,13.50,0.09,1.2150
2025-03-23,4.95,0.09,0.4455
2025-03-23,1.70,0.09,0.1530
2025-03-23,3.10,0.09,0.2790
2025-03-22,3.50,0.09,0.3150
2025-03-22,6.91,0.09,0.6219
2025-03-22,1.92,0.09,0.1728
2025-03-22,7.80,0.09,0.7020
2025-03-21,100.00,0.09,9.0000
2025-03-21,1.70,0.09,0.1530
2025-03-21,5.30,0.09,0.4770
2025-03-20,6.12,0.09,0.5508
2025-03-20,6.60,0.09,0.5940
2025-03-20,24.75,0.09,2.2275
2025-03-19,4.55,0.09,0.4095
2025-03-19,0.90,0.09,0.0810
2025-03-19,5.76,0.09,0.5184
2025-03-19,6.60,0.09,0.5940
2025-03-18,8.90,0.09,0.8010
2025-03-18,6.30,0.09,0.5670
2025-03-17,6.30,0.09,0.5670
2025-03-17,6.30,0.09,0.5670
2025-03-16,1.89,0.09,0.1701
2025-03-16,6.82,0.09,0.6138
2025-03-16,1.50,0.09,0.1350
2025-03-16,7.10,0.09,0.6390
2025-03-16,200.00,0.09,18.0000
2025-03-15,4.95,0.09,0.4455
2025-03-14,6.30,0.09,0.5670
2025-03-14,7.60,0.09,0.6840
2025-03-14,3.50,0.09,0.3150
2025-03-14,1.70,0.09,0.1530
2025-03-14,9.30,0.09,0.8370
